symbol,open,volume,high,low,close,time
,,,,,,1
MGEE,0.0,9000,11.5949,11.2613,11.2613,252691200
COKE,0.0,7600,10.375,10.0,10.0,252691200
ERIC,0.0,0,0.0,0.0,0.591,252691200
LAWS,0.0,6300,3.5938,3.4063,3.4063,252691200
NTRS,0.0,57600,0.912,0.8911,0.8911,252691200
ANAT,0.0,6300,11.25,10.875,10.875,252691200
CHYR,0.0,0,0.0,0.0,1.4067,252691200
USEG,0.0,9500,11.8125,11.375,11.375,252691200
CRRC,0.0,0,0.0,0.0,0.6309,252691200
PNRG,0.0,100,2.25,2.25,2.25,252691200
INTC,0.0,7023984,0.126,0.1221,0.1221,252691200
LNCE,0.0,26600,4.3125,4.1875,4.1875,252691200
MYL,0.0,0,0.0,0.0,0.0139,252691200
ASEI,0.0,9240,7.4703,7.2322,7.2322,252691200
ACET,0.0,0,0.0,0.0,0.2427,252691200
SPEX,0.0,60,15.938,12.188,12.188,252691200
BWINA,0.0,45799,1.0323,1.0074,1.0074,252691200
TWIN,0.0,3600,3.8438,3.8204,3.8438,252691200
VIRC,0.0,1100,0.4598,0.4598,0.4598,252691200
HBAN,0.0,42200,1.0839,1.0635,1.0635,252691200
GYRO,0.0,1000,1.4331,1.4331,1.4331,252691200
PATK,0.0,4200,0.6149,0.4794,0.4794,252691200
OTTR,0.0,5200,5.2813,5.1563,5.1563,252691200
POWL,0.0,6200,2.0,1.625,1.625,252691200
KEQU,0.0,1000,4.0313,3.8125,3.8125,252691200
LANC,0.0,48620,2.3675,2.3319,2.3319,252691200
KLIC,0.0,102400,0.25,0.2344,0.2344,252691200
NEON,0.0,0,0.0,0.0,75.0,252691200
MSEX,0.0,8000,2.8139,2.6888,2.6888,252691200
ALOG,0.0,28000,2.3438,2.2188,2.2188,252691200
MTSC,0.0,17200,3.1971,3.08,3.08,252691200
ATRI,0.0,1200,5.0651,4.8566,4.8566,252691200
ASBC,0.0,0,0.0,0.0,0.5592,252691200
SHLM,0.0,73602,0.4836,0.4502,0.4502,252691200
SIGI,0.0,7200,0.7188,0.6641,0.6641,252691200
BRID,0.0,14600,0.2411,0.1894,0.1894,252691200
CINF,0.0,66886,0.5837,0.5667,0.5667,252691200
COHR,0.0,39000,1.7657,1.5938,1.5938,252691200
TXN,0.0,1772784,1.5293,1.4727,1.4727,252691200
WDFC,0.0,3600,2.8282,2.7032,2.7032,252691200
SYNL,0.0,9601,1.1679,1.14,1.1679,252691200
SWKS,0.0,16200,0.4794,0.4377,0.4377,252691200
GLDC,0.0,0,0.0,0.0,0.5,252691200
GT,0.0,112200,8.8125,8.625,8.6875,252691200
HELE,0.0,0,0.0,0.0,0.0834,252691200
DRAM,0.0,1435,58.0932,53.2224,53.2224,252691200
ESCA,0.0,0,0.0,0.0,0.1766,252691200
PKOH,0.0,3600,7.875,7.5,7.5,252691200
PCAR,0.0,394909,0.9337,0.9148,0.9148,252691200
RAVN,0.0,17604,0.1738,0.1582,0.1582,252691200
ORBT,0.0,0,0.0,0.0,0.48,252691200
RAND,0.0,0,0.0,0.0,0.1664,252691200
PMFG,0.0,3204,1.125,1.0625,1.0625,252691200
IIN,0.0,2700,3.335,3.2933,3.2933,252691200
HWKN,0.0,200,0.2666,0.2222,0.2222,252691200
KCLI,0.0,12600,7.6563,7.6563,7.6563,252691200
KELYA,0.0,48000,1.85,1.8,1.8,252691200
KBALB,0.0,8800,1.7813,1.7188,1.7188,252691200
NWLI,0.0,8800,6.125,5.875,5.875,252691200
MLHR,0.0,105600,0.5313,0.5,0.5,252691200
NSEC,0.0,0,0.0,0.0,1.7884,252691200
AMAT,0.0,422400,0.0132,0.0118,0.0118,252691200
ARTW,0.0,0,0.0,0.0,2.0,252691200
DIOD,0.0,2800,0.1732,0.1732,0.1732,252691200
MPET,0.0,0,0.0,0.0,0.6875,252691200
WSCI,0.0,400,0.9063,0.7188,0.7188,252691200
ZION,0.0,24800,1.625,1.5664,1.5664,252691200
YRCW,0.0,233,4200.0,4087.5,4087.5,252691200
AMIC,0.0,300,4.125,4.125,4.125,252691200
ADP,0.0,541600,0.8209,0.7858,0.7858,252691200
ALCO,0.0,4000,4.0625,3.9375,3.9375,252691200
SENEB,0.0,2400,1.1563,1.0938,1.0938,252691200
SMTC,0.0,4000,0.6055,0.6055,0.6055,252691200
SGC,0.0,7200,0.8125,0.7969,0.7969,252691200
SIAL,0.0,0,0.0,0.0,0.4532,252691200
BSET,0.0,6801,8.2041,7.8873,7.8873,252691200
CBSH,0.0,45713,1.0517,1.0059,1.0059,252691200
BOBE,0.0,40399,2.5781,2.5079,2.5079,252691200
CMCSA,0.0,297,0.051,0.0464,0.0464,252691200
COBR,0.0,5700,1.9375,1.7188,1.7188,252691200
COHU,0.0,14400,0.375,0.3594,0.375,252691200
WEYS,0.0,7200,0.4442,0.4442,0.4442,252691200
WABC,0.0,0,0.0,0.0,1.9772,252691200
TRNS,0.0,0,0.0,0.0,0.1875,252691200
UFCS,0.0,202,1.1453,1.0896,1.0896,252691200
TRMK,0.0,12000,1.5193,1.4569,1.4569,252691200
UMBF,0.0,0,0.0,0.0,1.4147,252691200
GK,0.0,0,0.0,0.0,0.3752,252691200
FARM,0.0,12000,1.25,1.2,1.2,252691200
FWLT,0.0,5000,70.313,67.5,67.5,252691200
HAS,0.0,1907,0.0927,0.0927,0.0927,252691200
FITB,0.0,0,0.0,0.0,0.3755,252691200
FLXS,0.0,9300,4.1563,3.9375,3.9375,252691200
EML,0.0,0,0.0,0.0,3.0725,252691200
CTWS,0.0,99,5.3387,5.1162,5.1162,252691200
EDUC,0.0,1400,0.625,0.625,0.625,252691200
CSWC,0.0,19200,0.3906,0.3672,0.3672,252691200
AAME,0.0,29000,0.9375,0.875,0.875,252691200
AGYS,0.0,70801,0.8717,0.8067,0.8067,252691200
